ida_ea	name	gate	result	session	date	source_ref	detail
0x006F5B50	?UpdateJump@RBVehicleController@@AAEXAAVrb_vehicle@@@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006F5B50;src/game/physics/g_physics.cpp:2385	IDA release decompiles the entry point as an empty body; source preserves the rb_vehicle pointer ABI and no-op behavior.
0x006F5B50	?UpdateJump@RBVehicleController@@AAEXAAVrb_vehicle@@@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006F5B50	Release and source both contain no state-changing instructions.
0x006FEDB0	?create_gjk_geom@gjk_geom_database@@QAEPAVphys_gjk_geom_list@@PAVEntity@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	IDA:0x006FEDB0;src/game/physics/g_physics.cpp:6795	Source has the complete release control flow, including DCG object filtering, brush vertex-list allocation/unpack, AABB creation, geometry linking, and null allocation returns.
0x006FEDB0	?create_gjk_geom@gjk_geom_database@@QAEPAVphys_gjk_geom_list@@PAVEntity@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x006FEDB0;c3_bin/codmp_xboxr.xbe.c:1363633	Release and source match the entity/bmodel assertions, object loop, 0x241 cflags filter, brush index/count checks, vertex unpack path, AABB path, unique-id/link insertion, and return behavior.
0x006FF680	?unpack@@YAXABUcdl_vinfo_t@@ABV?$cdl_array@Uvi4@@@@PAVDir3@math@@@Z	V3	PASS	mp-merv-ederdam-cdb-20260827	2026-08-27	IDA:0x006FF680;src/game/physics/g_physics.cpp:6685	Release CDL metadata is a packed 10-byte record (three signed 16-bit base coordinates followed by two 16-bit fields); source now unpacks that exact layout and preserves bounds/assert behavior.
0x006FF680	?unpack@@YAXABUcdl_vinfo_t@@ABV?$cdl_array@Uvi4@@@@PAVDir3@math@@@Z	V4	PASS	mp-merv-ederdam-cdb-20260827	2026-08-27	IDA:0x006FF680;src/game/physics/g_physics.cpp:6709	Release disassembly and direct +devmap ederdam CDB reproduction matched the packed CDL fix; the prior gjk_geom_list assert no longer occurred.
0x0071C200	?create@phys_gjk_geom_vert_list@@SAPAV1@HPAVDCGSet@@H@Z	V3	PASS	mp-merv-ederdam-cdb-20260827	2026-08-27	IDA:0x0071C200;src/game/physics/g_physics.cpp:6588	Release factory initializes the polymorphic allocation before payload writes; source now placement-constructs phys_gjk_geom_vert_list immediately after the allocator returns.
0x0071C200	?create@phys_gjk_geom_vert_list@@SAPAV1@HPAVDCGSet@@H@Z	V4	PASS	mp-merv-ederdam-cdb-20260827	2026-08-27	IDA:0x0071C200;src/game/physics/g_physics.cpp:6609	Direct +devmap ederdam CDB reached the former comp_aabb access violation without a debugger exception after the release-vtable initialization fix.
0x00885BA0	?PHYS_ASSERT_ORTHOGONAL@@YAXABVDir3@math@@0@Z	V3	PASS	ida-manual-phys-math-20260828	2026-08-28	IDA:0x00885BA0;src/game/logic/g_entity_misc.cpp:4095-4100	Source implements the release dot-product threshold and tlAssert/debugbreak path.
0x00885BA0	?PHYS_ASSERT_ORTHOGONAL@@YAXABVDir3@math@@0@Z	V4	PASS	ida-manual-phys-math-20260828	2026-08-28	IDA:0x00885BA0;c3_bin/codmp_xboxr.xbe.c:1648239-1648250	Release and source match the three-component dot product, 0.001 threshold, assert metadata, and break behavior.
0x00886D40	?PHYS_ASSERT_ORTHONORMAL@@YAXPBVMat43@math@@@Z	V3	PASS	ida-manual-phys-math-20260828	2026-08-28	IDA:0x00886D40;src/game/logic/g_entity_misc.cpp:4102-4134	Source implements all six release orthonormality checks with matching thresholds and assert paths.
0x00886D40	?PHYS_ASSERT_ORTHONORMAL@@YAXPBVMat43@math@@@Z	V4	PASS	ida-manual-phys-math-20260828	2026-08-28	IDA:0x00886D40;c3_bin/codmp_xboxr.xbe.c:1648807-1648872	Release and source match row norms, pairwise dot products, check order, assert metadata, and break behavior.
0x00894D00	?orthonormalize@@YAXPAVMat43@math@@@Z	V3	PASS	ida-manual-phys-math-20260828	2026-08-28	IDA:0x00894D00;src/game/logic/g_entity_misc.cpp:4067-4092	Source implements release Gram-Schmidt normalization and cross-product reconstruction using SSE row operations.
0x00894D00	?orthonormalize@@YAXPAVMat43@math@@@Z	V4	PASS	ida-manual-phys-math-20260828	2026-08-28	IDA:0x00894D00;c3_bin/codmp_xboxr.xbe.c:1660802-1660830	Release and source match x normalization, y projection/removal and normalization, row writes, and z cross-product shuffle sequence.
0x0087C5F0	?add_force@rigid_body@@QAEXABVDir3@math@@@Z	V3	PASS	ida-manual-phys-force-20260828	2026-08-28	IDA:0x0087C5F0;src/game/logic/g_entity_misc.cpp:2788-2797	Source restores the release collision-state assertion and accumulated force update through the verified m_force_sum offset.
0x0087C5F0	?add_force@rigid_body@@QAEXABVDir3@math@@@Z	V4	PASS	ida-manual-phys-force-20260828	2026-08-28	IDA:0x0087C5F0;c3_bin/codmp_xboxr.xbe.c:1639282-1639294	Release and source match the flags test, rigid_body.h assert metadata, debugbreak path, and SSE force accumulation.
