ida_ea	name	gate	result	session	date	source_ref	detail
0x009983D0	?main@_mp_setup@@YAXXZ	V3	PASS	direct-release-nullsub-20260827	2026-08-27	src/broc/mp_anim_wad.cpp:389	Source body is an intentional no-op script entry point.
0x009983D0	?main@_mp_setup@@YAXXZ	V4	PASS	direct-release-nullsub-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c:1856661	Release body is a nullsub and matches the source entry point.
0x009983D0	?main@_mp_setup@@YAXXZ	V3	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source main body is an intentional release no-op.
0x009983D0	?main@_mp_setup@@YAXXZ	V4	PASS	release-stub-audit-20260827	2026-08-27	c3_bin/codmp_xboxr.xbe.c	Release C dump body is empty; source main body is an intentional release no-op.
0x0098CB10	?IsEEDefined_script_explodertype@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5065	Global wrapper preserves the checked extended-entity defined-value logic and release value ABI.
0x0098CB10	?IsEEDefined_script_explodertype@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849113	Release implementation computes the same extended-entity defined result.
0x0098CC60	?IsEEDefined_script_friendname@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5076	Global wrapper preserves the checked extended-entity defined-value logic and release value ABI.
0x0098CC60	?IsEEDefined_script_friendname@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849161	Release implementation computes the same extended-entity defined result.
0x0098D060	?GetEE_script_location@@YAAAVstring@Broc@@Ventity@2@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5059	Global wrapper returns the same extended-entity string reference as the checked implementation.
0x0098D060	?GetEE_script_location@@YAAAVstring@Broc@@Ventity@2@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849330	Release getter reads the same extended-entity string field.
0x0098D0B0	?IsEEDefined_script_location@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5064	Global wrapper preserves the checked defined-value logic and release value ABI.
0x0098D0B0	?IsEEDefined_script_location@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849378	Release implementation computes the same extended-entity defined result.
0x0098D1B0	?GetEE_script_area@@YAAAVstring@Broc@@Ventity@2@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5069	Global wrapper returns the same extended-entity string reference as the checked implementation.
0x0098D1B0	?GetEE_script_area@@YAAAVstring@Broc@@Ventity@2@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849378	Release getter reads the same extended-entity string field.
0x0098D200	?IsEEDefined_script_area@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5074	Global wrapper preserves the checked defined-value logic and release value ABI.
0x0098D200	?IsEEDefined_script_area@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849426	Release implementation computes the same extended-entity defined result.
0x0098D300	?GetEE_script_uniquename@@YAAAVstring@Broc@@Ventity@2@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5079	Global wrapper returns the same extended-entity string reference as the checked implementation.
0x0098D300	?GetEE_script_uniquename@@YAAAVstring@Broc@@Ventity@2@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849426	Release getter reads the same extended-entity string field.
0x0098D350	?IsEEDefined_script_uniquename@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5084	Global wrapper preserves the checked defined-value logic and release value ABI.
0x0098D350	?IsEEDefined_script_uniquename@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849474	Release implementation computes the same extended-entity defined result.
0x0098D650	?GetEE_script_flaktype@@YAAAVstring@Broc@@Ventity@2@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5089	Global wrapper returns the same extended-entity string reference as the checked implementation.
0x0098D650	?GetEE_script_flaktype@@YAAAVstring@Broc@@Ventity@2@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849562	Release getter reads the same extended-entity string field.
0x0098D6A0	?IsEEDefined_script_flaktype@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828	2026-08-28	src/broc/mp_util_wad.cpp:5094	Global wrapper preserves the checked defined-value logic and release value ABI.
0x0098D6A0	?IsEEDefined_script_flaktype@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849610	Release implementation computes the same extended-entity defined result.
0x0098D060	?GetEE_script_location@@YAAAVstring@Broc@@Ventity@2@@Z	V3	PASS	direct-script-abi-20260828-corrected	2026-08-28	src/broc/mp_util_wad.cpp:5084	Global wrapper returns the checked extended-entity string reference.
0x0098D060	?GetEE_script_location@@YAAAVstring@Broc@@Ventity@2@@Z	V4	PASS	direct-script-abi-20260828-corrected	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849330	Release getter reads the same extended-entity string field.
0x0098D0B0	?IsEEDefined_script_location@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828-corrected	2026-08-28	src/broc/mp_util_wad.cpp:5089	Global wrapper preserves the checked defined-value logic and release value ABI.
0x0098D0B0	?IsEEDefined_script_location@@YA?AUbbool@@Ventity@Broc@@@Z	V4	PASS	direct-script-abi-20260828-corrected	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849341	Release implementation computes the same extended-entity defined result.
0x0098D1B0	?GetEE_script_area@@YAAAVstring@Broc@@Ventity@2@@Z	V3	PASS	direct-script-abi-20260828-corrected	2026-08-28	src/broc/mp_util_wad.cpp:5096	Global wrapper returns the checked extended-entity string reference.
0x0098D1B0	?GetEE_script_area@@YAAAVstring@Broc@@Ventity@2@@Z	V4	PASS	direct-script-abi-20260828-corrected	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1849378	Release getter reads the same extended-entity string field.
0x0098D200	?IsEEDefined_script_area@@YA?AUbbool@@Ventity@Broc@@@Z	V3	PASS	direct-script-abi-20260828-corrected	2026-08-28	src/broc/mp_util_wad.cpp:5101	Global wrapper preserves the checked defined-value logic and release value ABI.
