ida_ea	name	gate	result	session	date	source_ref	detail
0x007D4980	?GetVShader@cdAirplaneMetalRender@@YAKXZ	V3	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D4980; src/render/cdAirplaneMetalShader.cpp:34-37	Returns the release vertex-shader slot-zero handle.
0x007D4980	?GetVShader@cdAirplaneMetalRender@@YAKXZ	V4	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D4980; src/render/cdAirplaneMetalShader.cpp:34-37	Indexed VS access matches release.
0x007D4990	?RegisterPShader@cdAirplaneMetalPixel@@YAXXZ	V3	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D4990; src/render/cdAirplaneMetalShader.cpp:40-44	Registers the pixel shader table entry through the direct release API.
0x007D4990	?RegisterPShader@cdAirplaneMetalPixel@@YAXXZ	V4	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D4990; src/render/cdAirplaneMetalShader.cpp:40-44	PS storage and table index match release.
0x007D49B0	?GetPShader@cdAirplaneMetalPixel@@YAPAKXZ	V3	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D49B0; src/render/cdAirplaneMetalShader.cpp:47-50	Returns pixel shader slot zero.
0x007D49B0	?GetPShader@cdAirplaneMetalPixel@@YAPAKXZ	V4	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D49B0; src/render/cdAirplaneMetalShader.cpp:47-50	PS slot access matches release.
0x007D49C0	?RegisterPShader@cdAirplaneMetalSolidColorPixel@@YAXXZ	V3	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D49C0; src/render/cdAirplaneMetalShader.cpp:53-57	Registers the solid-color pixel shader table entry through the direct release API.
0x007D49C0	?RegisterPShader@cdAirplaneMetalSolidColorPixel@@YAXXZ	V4	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D49C0; src/render/cdAirplaneMetalShader.cpp:53-57	PS storage and table index match release.
0x007D49E0	?GetPShader@cdAirplaneMetalSolidColorPixel@@YAPAKXZ	V3	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D49E0; src/render/cdAirplaneMetalShader.cpp:60-63	Returns solid-color pixel shader slot zero.
0x007D49E0	?GetPShader@cdAirplaneMetalSolidColorPixel@@YAPAKXZ	V4	PASS	ida-manual-airplane-metal-20260829	2026-08-29	IDA decompile 0x007D49E0; src/render/cdAirplaneMetalShader.cpp:60-63	PS slot access matches release.
