ida_ea	name	gate	result	session	date	source_ref	detail
0x00612470	??1EntityManager@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:7077	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (EntityManager::~EntityManager); no user logic is omitted.
0x0062D8A0	?Update@MusicMgr@@QAEXM@Z	V3	PASS	ida-manual-musicmgr-20260828	2026-08-28	IDA:0x0062D8A0;src/game/logic/g_entity_misc.cpp:5398-5462	Source contains the complete cross-fade state update, timing transitions, handle checks, volume calculations, and sound updates.
0x0062D8A0	?Update@MusicMgr@@QAEXM@Z	V4	PASS	ida-manual-musicmgr-20260828	2026-08-28	IDA:0x0062D8A0;c3_bin/codmp_xboxr.xbe.c:1248937-1249077	Release and source match both cross-fade branches, completion transitions, sound-handle guards, and volume formulas.
0x00454B00	?Compact@EntityHandleDb@@QAEXXZ	V3	PASS	ida-manual-entity-handles-20260828	2026-08-28	IDA:0x00454B00;src/game/logic/g_entity_misc.cpp:3603-3607;src/game/logic/g_utils.cpp:223-258	Source routes the bridge to the complete active-list compaction implementation.
0x00454B00	?Compact@EntityHandleDb@@QAEXXZ	V4	PASS	ida-manual-entity-handles-20260828	2026-08-28	IDA:0x00454B00;c3_bin/codmp_xboxr.xbe.c:973563-973612	Release and source match null-slot removal, tail relocation, index repair, and active-size updates.
0x00460D70	?Init@EntityHandleDb@@QAEXXZ	V3	PASS	ida-manual-entity-handles-20260828	2026-08-28	IDA:0x00460D70;src/game/logic/g_entity_misc.cpp:3608-3612;src/game/logic/g_utils.cpp:34-38	Source routes the bridge to EntityHandleDb::Init.
0x00460D70	?Init@EntityHandleDb@@QAEXXZ	V4	PASS	ida-manual-entity-handles-20260828	2026-08-28	IDA:0x00460D70;c3_bin/codmp_xboxr.xbe.c:981062-981066	Release and source match initialization of the debug callback.
0x00603F20	?PlayLandingSound@SoundMediaMgr@@QAEXPAVEntity@@HW4ECollisionMaterial@@@Z	V3	PASS	ida-manual-sound-media-20260828	2026-08-28	IDA:0x00603F20;src/game/logic/g_entity_misc.cpp:4371-4377;src/game/logic/g_entity_misc.cpp:5376-5398	Source routes the bridge to the complete landing collision descriptor construction and effect dispatch.
0x00603F20	?PlayLandingSound@SoundMediaMgr@@QAEXPAVEntity@@HW4ECollisionMaterial@@@Z	V4	PASS	ida-manual-sound-media-20260828	2026-08-28	IDA:0x00603F20;c3_bin/codmp_xboxr.xbe.c:1219282-1219311	Release and source match entity origin extraction, zeroed descriptor padding, material assignment, and PostEffectEventLanding dispatch.
0x00603F20	?PlayLandingSound@SoundMediaMgr@@QBEXPAVEntity@@H_N@Z	V3	PASS	ida-manual-sound-media-20260828	2026-08-28	IDA:0x00603F20;src/game/logic/g_entity_misc.cpp:4371-4377;src/game/logic/g_entity_misc.cpp:5376-5398	Source routes the bridge to the complete const landing collision descriptor construction and effect dispatch.
0x00603F20	?PlayLandingSound@SoundMediaMgr@@QBEXPAVEntity@@H_N@Z	V4	PASS	ida-manual-sound-media-20260828	2026-08-28	IDA:0x00603F20;c3_bin/codmp_xboxr.xbe.c:1219282-1219311	Release and source match entity origin extraction, zeroed descriptor padding, material assignment, and PostEffectEventLanding dispatch.
0x00602A80	?PauseAllSounds@SoundDevice@@QAEXXZ	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602A80;src/game/logic/g_entity_misc.cpp:4323-4327;src/game/logic/g_entity_misc.cpp:7975-7988	Source routes the bridge to the complete 512-slot pause loop.
0x00602A80	?PauseAllSounds@SoundDevice@@QAEXXZ	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602A80;c3_bin/codmp_xboxr.xbe.c:1218503-1218513	Release and source match the 512-slot iteration, invalid-source guard, and per-sound Pause call.
0x00602AE0	?UnpauseAllSounds@SoundDevice@@QAEXXZ	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602AE0;src/game/logic/g_entity_misc.cpp:4353-4357;src/game/logic/g_entity_misc.cpp:8034-8047	Source routes the bridge to the complete 512-slot unpause loop.
0x00602AE0	?UnpauseAllSounds@SoundDevice@@QAEXXZ	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602AE0;c3_bin/codmp_xboxr.xbe.c:1218531-1218541	Release and source match the 512-slot iteration, invalid-source guard, and per-sound Unpause call.
0x00602B20	?SetNumberOfListeners@SoundDevice@@QAEXH@Z	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602B20;src/game/logic/g_entity_misc.cpp:4342-4346;src/game/logic/g_entity_misc.cpp:8052-8056	Source routes the bridge to the manager field update and NSL listener update.
0x00602B20	?SetNumberOfListeners@SoundDevice@@QAEXH@Z	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602B20;c3_bin/codmp_xboxr.xbe.c:1218550-1218554	Release and source match mNumberOfListeners assignment followed by nslSetNumberOfListeners.
0x00602B60	?DampenAllSounds@SoundDevice@@QAEXM@Z	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602B60;src/game/logic/g_entity_misc.cpp:4320-4323;src/game/logic/g_entity_misc.cpp:8119-8122	Source routes the bridge to the complete NSL dampen call.
0x00602B60	?DampenAllSounds@SoundDevice@@QAEXM@Z	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602B60;c3_bin/codmp_xboxr.xbe.c:1218563-1218566	Release and source both pass the requested level directly to nslDampen.
0x00602B80	?UndampenAllSounds@SoundDevice@@QAEXXZ	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602B80;src/game/logic/g_entity_misc.cpp:4350-4354;src/game/logic/g_entity_misc.cpp:8124-8128	Source routes the bridge to the complete NSL undampen call.
0x00602B80	?UndampenAllSounds@SoundDevice@@QAEXXZ	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x00602B80;c3_bin/codmp_xboxr.xbe.c:1560875-1560877	Release and source both call nslUndampen with no extra state changes.
0x0062C9B0	?ReleaseSound@SoundDevice@@QAEXPAVSound@1@@Z	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x0062C9B0;src/game/logic/g_entity_misc.cpp:4332-4340;src/game/logic/g_entity_misc.cpp:9508-9511	Source routes the bridge to the typed sound release method.
0x0062C9B0	?ReleaseSound@SoundDevice@@QAEXPAVSound@1@@Z	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x0062C9B0;c3_bin/codmp_xboxr.xbe.c:1248271-1248274	Release and source both stop the supplied Sound object.
0x006435D0	?StopAllSounds@SoundDevice@@QAEXXZ	V3	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x006435D0;src/game/logic/g_entity_misc.cpp:4345-4349;src/game/logic/g_entity_misc.cpp:9545-9568	Source routes the bridge to the complete manager stop sequence.
0x006435D0	?StopAllSounds@SoundDevice@@QAEXXZ	V4	PASS	ida-manual-sounddevice-20260828	2026-08-28	IDA:0x006435D0;c3_bin/codmp_xboxr.xbe.c:1263563-1263620	Release and source match cross-fade reset, all 512 sound stops, music cleanup, and frame advance.
