ida_ea	name	gate	result	session	date	source_ref	detail
0x00677A60	?cdGetTexture@@YAPAUnglTexture@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288295-1288304;src/game/streamer/pakmanager.cpp:9409-9416	Release looks up textures through the APK bank and falls back to the global texture directory; source matches.
0x00677A60	?cdGetTexture@@YAPAUnglTexture@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288295-1288304;src/game/streamer/pakmanager.cpp:9409-9416	Release/source bank constant, lookup arguments, and fallback behavior are equivalent.
0x00677A90	?cdGetMesh@@YAPAUnglMesh@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288306-1288316;src/game/streamer/pakmanager.cpp:9419-9426	Release looks up meshes through the MESHFILE bank and falls back to nglMeshDirectory; source matches.
0x00677A90	?cdGetMesh@@YAPAUnglMesh@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288306-1288316;src/game/streamer/pakmanager.cpp:9419-9426	Release/source bank constant, lookup arguments, and fallback behavior are equivalent.
0x00677AC0	?cdGetEffectTemplate@@YAPAVapsEffectTemplate@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288317-1288340;src/game/streamer/pakmanager.cpp:9429-9452	Release looks up particle effects through the SKELETON bank and returns the missing-effect fallback after the release assert; source matches.
0x00677AC0	?cdGetEffectTemplate@@YAPAVapsEffectTemplate@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288317-1288340;src/game/streamer/pakmanager.cpp:9429-9452	Release/source bank constant and missing-effect assertion/fallback control flow are equivalent.
0x00677B40	?cdGetFont@@YAPAVnglFont@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288341-1288359;src/game/streamer/pakmanager.cpp:9455-9471	Release looks up fonts through the ADF bank and falls back to nglFontDirectory after the release assert; source matches.
0x00677B40	?cdGetFont@@YAPAVnglFont@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288341-1288359;src/game/streamer/pakmanager.cpp:9455-9471	Release/source bank constant, assertion, and fallback behavior are equivalent.
0x00677BC0	?cdGetMeshFile@@YAPAUMultiApk@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288360-1288365;src/game/streamer/pakmanager.cpp:9474-9479	Release looks up MultiApk mesh files through the TEXTURE bank; source matches.
0x00677BC0	?cdGetMeshFile@@YAPAUMultiApk@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288360-1288365;src/game/streamer/pakmanager.cpp:9474-9479	Release/source bank constant and direct lookup behavior are equivalent.
0x00677BE0	?cdGetAnim@@YAPAV?$nalAnimClass@VnalAnyPose@@@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288366-1288371;src/game/streamer/pakmanager.cpp:9482-9488	Release looks up animations through the ANIMFILE bank by pak and name; source matches.
0x00677BE0	?cdGetAnim@@YAPAV?$nalAnimClass@VnalAnyPose@@@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288366-1288371;src/game/streamer/pakmanager.cpp:9482-9488	Release/source bank constant and direct lookup behavior are equivalent.
0x00677C00	?cdGetAnim@@YAPAV?$nalAnimClass@VnalAnyPose@@@@I@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288372-1288377;src/game/streamer/pakmanager.cpp:9490-9495	Release looks up animations through the ANIMFILE bank by hash across all paks; source matches.
0x00677C00	?cdGetAnim@@YAPAV?$nalAnimClass@VnalAnyPose@@@@I@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288372-1288377;src/game/streamer/pakmanager.cpp:9490-9495	Release/source bank constant, invalid-pak lookup, and hash argument are equivalent.
0x00677C20	?cdGetSkeleton@@YAPAVnalBaseSkeleton@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288378-1288392;src/game/streamer/pakmanager.cpp:9502-9517	Release looks up skeletons through the ANIMOFFSET bank and asserts/falls through on a miss; source matches.
0x00677C20	?cdGetSkeleton@@YAPAVnalBaseSkeleton@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1288378-1288392;src/game/streamer/pakmanager.cpp:9502-9517	Release/source bank constant, missing-skeleton assertion, and return behavior are equivalent.
0x006663F0	?DecodeInstbank@InstanceBankMgr@@QAEXPBDPAEHW4TPakId@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1275632-1275680;src/game/streamer/pakmanager.cpp:7344-7376	Release fixes the instance-bank set, validates all thirteen serialized bank slots against the type-string table, and stores the bank by pak id; source performs the same operations.
0x006663F0	?DecodeInstbank@InstanceBankMgr@@QAEXPBDPAEHW4TPakId@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1275652-1275679;src/game/streamer/pakmanager.cpp:7359-7376	Release/source comparison confirms the corrected APK/ADF/TEXTURE through DISCTEXSIZE index contract and identical validation loop.
0x0066C010	?ReleaseAnims@InstanceBankMgr@@QAEXW4TPakId@@@Z	V3	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1279720-1279908;src/game/streamer/pakmanager.cpp:14812-14891	Release traverses the serialized MESH slot (the release enum value for animation files), releases each nalAnimFile and its animations, then clears ANIMFILE, SCNANIM, and ANIMOFFSET entries; source preserves that release slot contract.
0x0066C010	?ReleaseAnims@InstanceBankMgr@@QAEXW4TPakId@@@Z	V4	PASS	instance-bank-enum-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1279762-1279908;src/game/streamer/pakmanager.cpp:14817-14891	Release/source control flow and bank constants match after restoring the release enum values; the prior apparent mesh mismatch was an enum-label shift, not a release defect.
0x00663720	?OnLoading@StreamZoneManager@@QAEXW4TPakId@@@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x00663720;src/game/streamer/pakmanager.cpp:11418	IDA release decompiles the entry point as an empty body; source preserves the TPakId ABI and no-op behavior.
0x00663720	?OnLoading@StreamZoneManager@@QAEXW4TPakId@@@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x00663720	Release and source both contain no state-changing instructions.
0x006652B0	?DecodeGrassInfo@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006652B0;src/game/streamer/pakmanager.cpp:14990	IDA release decompiles the entry point as an empty body; source preserves the buffer/TPakId/PakFile ABI and no-op behavior.
0x00677850	?Get@InstanceBankMgr@@QBEIW4eInstanceBankType@@W4TPakId@@ABVtlFixedString@@@Z	V3	PASS	mp-merv-cdb-20260827	2026-08-27	IDA:0x00677850;src/game/streamer/pakmanager.cpp:9264	Release routes only ANIMFILE and ANIMOFFSET lookups through GetAllPaks and routes other types through pak prerequisites; source now uses the release type branches.
0x00677850	?Get@InstanceBankMgr@@QBEIW4eInstanceBankType@@W4TPakId@@ABVtlFixedString@@@Z	V4	PASS	mp-merv-cdb-20260827	2026-08-27	IDA:0x00677850;src/game/streamer/pakmanager.cpp:9266	Direct release disassembly matched source for prereq selection, INVALID pak context handling, FindEntry iteration, and return behavior; mp_merv asset lookup completed without a new bank lookup assert.
0x00677960	?Get@InstanceBankMgr@@QBEIW4eInstanceBankType@@W4TPakId@@I@Z	V3	PASS	mp-merv-cdb-20260827	2026-08-27	IDA:0x00677960;src/game/streamer/pakmanager.cpp:9310	Release routes only ANIMFILE and ANIMOFFSET lookups through GetAllPaks and routes other types through pak prerequisites; source now uses the release type branches.
0x00677960	?Get@InstanceBankMgr@@QBEIW4eInstanceBankType@@W4TPakId@@I@Z	V4	PASS	mp-merv-cdb-20260827	2026-08-27	IDA:0x00677960;src/game/streamer/pakmanager.cpp:9312	Direct release disassembly matched source for prereq selection, INVALID pak context handling, FindEntry iteration, and return behavior; direct +devmap mp_merv CDB completed without an access violation.
0x006652B0	?DecodeGrassInfo@@YAXPBDPAEHW4TPakId@@PAVPakFile@@@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x006652B0	Release and source both contain no state-changing instructions.
0x00665A00	?OnUnloaded@StreamZoneManager@@QAEXW4TPakId@@@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x00665A00;src/game/streamer/pakmanager.cpp:3704	IDA release decompiles the entry point as an empty body; source preserves the TPakId ABI and no-op behavior.
0x00665A00	?OnUnloaded@StreamZoneManager@@QAEXW4TPakId@@@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x00665A00	Release and source both contain no state-changing instructions.
0x006690B0	?UpdateEffects@SceneManager@@QAEXM@Z	V3	PASS	scene-effects-assert-fix-20260829	2026-08-29	src/game/streamer/pakmanager.cpp:4410-4623	Source preserves the release effect state machine and skips malformed scene records with null or empty script ids, stopping any existing handle before marking them inactive.
0x006690B0	?UpdateEffects@SceneManager@@QAEXM@Z	V4	PASS	scene-effects-assert-fix-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1277610	Release effect dispatch passes each scene script id to PostEffectEventScriptCall; source now validates scene data at the dispatch boundary.
0x0066F480	?RegisterMesh@@YAXPBDPAUMultiApk@@W4TPakId@@@Z	V3	PASS	register-mesh-bank-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1282199-1282209;src/game/streamer/pakmanager.cpp:15969-15974	Release registers MultiApk data through the TEXTURE instance-bank slot; source now matches the release call.
0x0066F480	?RegisterMesh@@YAXPBDPAUMultiApk@@W4TPakId@@@Z	V4	PASS	register-mesh-bank-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1282199-1282209;src/game/streamer/pakmanager.cpp:15969-15974	Direct CDB assert identified the prior MESHFILE slot mismatch; release/source bank constant and GetName/Add flow are now equivalent.
0x00663330	?FixDown@PakHeader@@QAEXXZ	V3	PASS	pak-header-fixup-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273682-1273734;src/game/streamer/pakmanager.cpp:11169-11194	Release converts section, file-name, and bank pointers to header-relative offsets; source performs the same guarded section/file traversal and pointer subtraction.
0x00663330	?FixDown@PakHeader@@QAEXXZ	V4	PASS	pak-header-fixup-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273682-1273734;src/game/streamer/pakmanager.cpp:11169-11194	Manual release/source comparison confirms equivalent pointer arithmetic, null long-name handling, and section iteration.
0x006633E0	?FixUp@PakHeader@@QAEX_NH@Z	V3	PASS	pak-header-fixup-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273736-1273790;src/game/streamer/pakmanager.cpp:11197-11230	Release restores section, bank, and file pointers to absolute addresses, clears files for persistent fixup, and otherwise restores file names; source matches.
0x006633E0	?FixUp@PakHeader@@QAEX_NH@Z	V4	PASS	pak-header-fixup-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273736-1273790;src/game/streamer/pakmanager.cpp:11197-11230	Manual release/source comparison confirms persistent-fixup branching, null-safe long names, and ignored byte-swap parameter behavior.
0x0066BEF0	?Add@InstanceBankMgr@@QAEIW4eInstanceBankType@@W4TPakId@@ABVtlFixedString@@I@Z	V3	PASS	register-mesh-bank-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1279672-1279713;src/game/streamer/pakmanager.cpp:15548-15590	Release and source implement identical pak-id validation, instance-bank lookup, replacement of an existing slot, and missing-slot assertion behavior.
0x0066BEF0	?Add@InstanceBankMgr@@QAEIW4eInstanceBankType@@W4TPakId@@ABVtlFixedString@@I@Z	V4	PASS	register-mesh-bank-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1279672-1279713;src/game/streamer/pakmanager.cpp:15548-15590	The CDB failure was at the release-equivalent missing-slot assertion; Add itself is body-equivalent after RegisterMesh supplies the release TEXTURE slot.
0x006631D0	?empty@InplaceString@@QBE_NXZ	V3	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273596-1273599;src/game/streamer/pakmanager.cpp:11234-11238	Release returns whether mStr is null; source has the same direct predicate.
0x006631D0	?empty@InplaceString@@QBE_NXZ	V4	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273596-1273599;src/game/streamer/pakmanager.cpp:11234-11238	Manual release/source comparison confirms identical const ABI, field, and result.
0x006631E0	??0mem_info@@QAE@PAEH@Z	V3	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273602-1273609;src/game/streamer/pakmanager.cpp:11240-11245	Release stores data_ and size_ into the two mem_info fields; source does the same.
0x006631E0	??0mem_info@@QAE@PAEH@Z	V4	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273602-1273609;src/game/streamer/pakmanager.cpp:11240-11245	Manual release/source comparison confirms identical constructor stores and layout use.
0x00663230	?to_float@NumBanks@@QAEAAMXZ	V3	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273623-1273627;src/game/streamer/pakmanager.cpp:11258-11258	Release returns the address of xbox; source returns the same member by reference.
0x00663230	?to_float@NumBanks@@QAEAAMXZ	V4	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273623-1273627;src/game/streamer/pakmanager.cpp:11258-11258	Manual release/source comparison confirms identical mutable-reference ABI and field.
0x00663240	?to_float@NumBanks@@QBEMXZ	V3	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273629-1273632;src/game/streamer/pakmanager.cpp:11259-11259	Release returns xbox by value; source returns the same member.
0x00663240	?to_float@NumBanks@@QBEMXZ	V4	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273629-1273632;src/game/streamer/pakmanager.cpp:11259-11259	Manual release/source comparison confirms identical const value-return behavior.
0x00663250	?GetNumBanks@BankManager@@QBEMXZ	V3	PASS	streamer-accessor-audit-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1273634-1273637;src/game/streamer/pakmanager.cpp:11262-11265	Release returns mNumMramBanks; source returns the same field.
