ida_ea	name	gate	result	session	date	source_ref	detail
0x00791DC0	??1AARPauseMenu@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:3340	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (AARPauseMenu::~AARPauseMenu); no user logic is omitted.
0x007926E0	??1SpectateMenu@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:3391	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (SpectateMenu::~SpectateMenu); no user logic is omitted.
0x007A74B0	??1ModelMenu@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:3644	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (ModelMenu::~ModelMenu); no user logic is omitted.
0x007A8F30	??1AARGameSettingsView@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:4026	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (AARGameSettingsView::~AARGameSettingsView); no user logic is omitted.
0x007A9EC0	??1InGameSwitchSides@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:4031	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (InGameSwitchSides::~InGameSwitchSides); no user logic is omitted.
0x007AB850	??1PauseMenu@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:4062	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (PauseMenu::~PauseMenu); no user logic is omitted.
0x007B02A0	??1AARScoreboardWinner@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:4093	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (AARScoreboardWinner::~AARScoreboardWinner); no user logic is omitted.
0x007B02D0	??1AARScoreboardLoser@@UAE@XZ	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:4098	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (AARScoreboardLoser::~AARScoreboardLoser); no user logic is omitted.
0x0078C350	?OnCircle@CreateSessionMenu@@UAEXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078C350;src/game/mpshell/session_menus.cpp:1428	IDA release decompiles the entry point as an empty body; source preserves the declared controller/menu ABI and no-op behavior.
0x0078C350	?OnCircle@CreateSessionMenu@@UAEXH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078C350	Release and source both contain no state-changing instructions.
0x0078C6A0	?OnCircle@CreateLanSessionMenu@@UAEXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078C6A0;src/game/mpshell/session_menus.cpp:1871	IDA release decompiles the entry point as an empty body; source preserves the declared controller/menu ABI and no-op behavior.
0x0078C6A0	?OnCircle@CreateLanSessionMenu@@UAEXH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078C6A0	Release and source both contain no state-changing instructions.
0x0078D710	?OnL1@GameSettingsEdit@@UAEXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078D710;src/game/mpshell/session_menus.cpp:2483	IDA release decompiles the entry point as an empty body; source preserves the declared controller/menu ABI and no-op behavior.
0x0078D710	?OnL1@GameSettingsEdit@@UAEXH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078D710	Release and source both contain no state-changing instructions.
0x0078D720	?OnR1@GameSettingsEdit@@UAEXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0078D720;src/game/mpshell/session_menus.cpp:2489	IDA release decompiles the entry point as an empty body; source preserves the declared controller/menu ABI and no-op behavior.
