ida_ea	name	gate	result	session	date	source_ref	detail
0x0071F540	?Sys_BeginStreamedFile@@YAXHH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F540;src/game/platform_xbox/GameXbox.cpp:366	IDA release decompiles the entry point as an empty body; source preserves the stream/controller ABI and no-op behavior.
0x0071F540	?Sys_BeginStreamedFile@@YAXHH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F540	Release and source both contain no state-changing instructions.
0x0071F550	?Sys_EndStreamedFile@@YAXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F550;src/game/platform_xbox/GameXbox.cpp:373	IDA release decompiles the entry point as an empty body; source preserves the controller ABI and no-op behavior.
0x0071F550	?Sys_EndStreamedFile@@YAXH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F550	Release and source both contain no state-changing instructions.
0x0071F5A0	?Sys_EnterCriticalSection@@YAXPAX@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F5A0;src/game/platform_xbox/GameXbox.cpp:397	IDA release decompiles the entry point as an empty body; source preserves the critical-section pointer ABI and no-op behavior.
0x0071F5A0	?Sys_EnterCriticalSection@@YAXPAX@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F5A0	Release and source both contain no state-changing instructions.
0x0071F5B0	?Sys_LeaveCriticalSection@@YAXPAX@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F5B0;src/game/platform_xbox/GameXbox.cpp:403	IDA release decompiles the entry point as an empty body; source preserves the critical-section pointer ABI and no-op behavior.
0x0071F5B0	?Sys_LeaveCriticalSection@@YAXPAX@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F5B0	Release and source both contain no state-changing instructions.
0x0071F5E0	?GLimp_SetGamma@@YAXQAE00@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F5E0;src/game/platform_xbox/GameXbox.cpp:422	IDA release decompiles the entry point as an empty body; source preserves the gamma-buffer ABI and no-op behavior.
0x0071F5E0	?GLimp_SetGamma@@YAXQAE00@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F5E0	Release and source both contain no state-changing instructions.
0x0071F790	?Sys_ShowConsole@@YAXHH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F790;src/game/platform_xbox/GameXbox.cpp:505	IDA release decompiles the entry point as an empty body; source preserves the console ABI and no-op behavior.
0x0071F790	?Sys_ShowConsole@@YAXHH@Z	V4	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x0071F790	Release and source both contain no state-changing instructions.
0x00721F00	?OnL1@XboxLiveOptionsMenu@@UAEXH@Z	V3	PASS	ida-nullsub-audit-20260827	2026-08-27	IDA:0x00721F00;src/game/platform_xbox/XboxLiveMenus.cpp:347	IDA release decompiles the entry point as an empty body; source preserves the controller ABI and no-op behavior.
